Mixture	Astrocyte	Endothelial	Microglia	Excitatory	Inhibitory	Oligo	P-value	Correlation	RMSE
Inputs.2_SSb	0.134969588653958	0.00247260396133505	0	0.809196283861578	0.00709682311529979	0.0462647004078292	0	0.472093900621228	0.894061233984158
Inputs.2_SSc	0.113271735927519	0.00360047831655525	0	0.825734187566052	0	0.0573935981898735	0	0.464298966394153	0.897920828044104
Inputs.3_PAGa	0.2078584789655	0.00971644329756256	0	0.316755412520031	0.331223354561465	0.134446310655443	0	0.546147506928457	0.852460349691986
Inputs.3_PAGc	0.18713846008601	0	0	0.261946918818124	0.369445632639722	0.181468988456144	0	0.520142413985257	0.861239532884802
Inputs.3_SCa	0.250644551923842	0.0170994164398421	0	0.26500260542303	0.208331199460253	0.258922226753033	0	0.5201496025936	0.854272648535007
Inputs.3_SCb	0.260874881405758	0.0155418987373772	0	0.237958906365184	0.200765837104403	0.284858476387277	0	0.562796434925487	0.826579591678689
Inputs.3_SCc	0.254413523760873	0.0106139264014799	0	0.257648076647357	0.200029723306683	0.277294749883606	0	0.548019734635341	0.836524169894036
Inputs.3_SSa	0.114299464220655	0.0157039274940276	0	0.78981060186028	0	0.080186006425037	0	0.464422887674455	0.896484608754574
Inputs.3_SSb	0.130791752885041	0.0159996133069377	0	0.769534539573562	0	0.0836740942344588	0	0.469311893187797	0.89332700974977
Inputs.3_SSc	0.138752644325186	0.0110511083389691	0	0.811160511561504	0	0.039035735774341	0	0.4660247293578	0.896200212389387
